2018-01-25 20:44:56,73,28
2018-01-25 20:44:59,73,28
2018-01-25 20:45:01,73,28
2018-01-25 20:45:03,73,28
2018-01-25 20:45:07,73,28
2018-01-25 20:45:09,73,29
2018-01-25 20:45:11,73,33
2018-01-25 20:45:14,73,42
2018-01-25 20:45:16,73,48
2018-01-25 20:45:18,73,52
2018-01-25 20:45:20,73,55
2018-01-25 20:45:22,73,57
2018-01-25 20:45:24,73,61
2018-01-25 20:45:28,74,62
2018-01-25 20:45:30,74,62
2018-01-25 20:45:35,74,62
2018-01-25 20:45:37,74,62
2018-01-25 20:45:39,75,61
2018-01-25 20:45:41,75,60
2018-01-25 20:45:46,75,59
2018-01-25 20:45:48,75,58
2018-01-25 20:45:50,75,45
2018-01-25 20:45:52,75,38
2018-01-25 20:45:54,75,35
2018-01-25 20:45:56,75,32
2018-01-25 20:45:58,75,31
2018-01-25 20:46:00,75,30
2018-01-25 20:46:02,75,29
2018-01-25 20:46:04,75,29
2018-01-25 20:46:06,75,29
2018-01-25 20:46:08,75,29
2018-01-25 20:46:10,75,29
2018-01-25 20:46:12,75,29
2018-01-25 20:46:15,75,29
2018-01-25 20:46:17,75,29
2018-01-25 20:46:19,75,28
2018-01-25 20:46:21,75,28
2018-01-25 20:46:23,75,28
2018-01-25 20:46:25,75,28
2018-01-25 20:46:27,75,28
2018-01-25 20:46:29,75,28
2018-01-25 20:46:31,75,28
2018-01-25 20:46:33,75,28
2018-01-25 20:46:35,75,28
2018-01-25 20:46:37,75,28
2018-01-25 20:46:39,75,28
2018-01-25 20:46:41,75,28
2018-01-25 20:46:43,75,28
2018-01-25 20:46:45,75,28
2018-01-25 20:46:47,75,28
2018-01-25 20:46:49,75,28
2018-01-25 20:46:51,74,28
2018-01-25 20:46:54,74,28
2018-01-25 20:46:56,74,28
2018-01-25 20:46:58,74,28
2018-01-25 20:47:00,74,28
2018-01-25 20:47:02,74,28
2018-01-25 20:47:04,74,28
2018-01-25 20:47:06,74,28
2018-01-25 20:47:08,74,28
